longitude,latitude,trace_type,distance,cumulative_distance,curvature
-90.1354370114947,38.64857978957313,racing_line,3.420154349150354e-05,0.003464167994985349,0.13964830032688402
-90.1354677313885,38.64856356573631,racing_line,3.474082261752258e-05,0.0034989088176028715,0.20375926407780964
-90.13549358575067,38.6485422423991,racing_line,3.351317282196021e-05,0.0035324219904248316,0.2640578109534033
-90.13551182371879,38.648516537832485,racing_line,3.151742734042145e-05,0.003563939417765253,0.3114759074537832
-90.13552128094484,38.64848656213987,racing_line,3.14321693856004e-05,0.003595371587150853,0.3050625981845074
-90.13552129963375,38.648452572580545,racing_line,3.398956446507538e-05,0.0036293611516159284,0.30520989039114443
-90.1355114812106,38.64842134842725,racing_line,3.273147082373103e-05,0.0036620926224396593,0.29778691883949593
-90.13549272019938,38.64839406901191,racing_line,3.310803593322545e-05,0.003695200658372885,0.251778110429971
-90.13546675653207,38.64837145414478,racing_line,3.4431732972420676e-05,0.0037296323913453056,0.19855993521527016
-90.13543592068709,38.64835388005051,racing_line,3.549222626448427e-05,0.00376512461760979,0.14204357517042193
-90.13540405654572,38.64834130185007,racing_line,3.425689173152551e-05,0.0037993815093413158,0.12459247409635121
-90.13537111132668,38.64833284127506,racing_line,3.4014243892302137e-05,0.0038333957532336177,0.10644673233221841
-90.13533732964108,38.64832791077596,racing_line,3.413959729439785e-05,0.0038675353505280155,0.09864283485792746
-90.13530280733268,38.64832631174475,racing_line,3.4559321142792554e-05,0.003902094671670808,0.09562647471295696
-90.1352685621057,38.648328002803375,racing_line,3.4286954523566873e-05,0.003936381626194375,0.09022474302548539
-90.13523535457101,38.648332667758446,racing_line,3.3533597565016647e-05,0.003969915223759391,0.09414292951462816
-90.13520230429609,38.64834053565857,racing_line,3.397388003721957e-05,0.004003889103796611,0.09224907840695565
-90.13516947600671,38.648351632091135,racing_line,3.465295657143777e-05,0.004038542060368049,0.09269581748595634
-90.13513789248957,38.64836568543929,racing_line,3.4568991153410294e-05,0.00407311105152146,0.09314908295767182
-90.13510829718115,38.64838230993737,racing_line,3.39448997176862e-05,0.004107055951239146,0.08013811817107841
-90.13508109532673,38.648400599643004,racing_line,3.277886844097768e-05,0.0041398348196801235,0.0756935897733616
-90.1350549097282,38.64842124464472,racing_line,3.3345189552213945e-05,0.004173180009232337,0.052506447592584826
-90.13502956559829,38.64844347947207,racing_line,3.371516673648168e-05,0.004206895175968819,0.040288324378182194
-90.13500516173154,38.648466694093464,racing_line,3.3681855034869206e-05,0.004240577031003688,0.03079989976411235
-90.13498026718376,38.64849188064966,racing_line,3.54132901882275e-05,0.004275990321191915,0.009724238811993913
-90.13495577293101,38.648517149016584,racing_line,3.519174313916029e-05,0.004311182064331075,0.008035431741055143
-90.13493180884174,38.64854147623685,racing_line,3.4148077841159434e-05,0.004345330142172235,0.02061824603305107
-90.13490694918895,38.648565693010845,racing_line,3.4705251473758864e-05,0.004380035393645993,0.043616576677456664
-90.13488130348034,38.648588583041665,racing_line,3.4375221900960445e-05,0.004414410615546954,0.07416357784353955
-90.13485501469852,38.64860875599991,racing_line,3.313681176847562e-05,0.00444754742731543,0.10165466018983738
-90.13482705401312,38.64862600923849,racing_line,3.285535222216834e-05,0.004480402779537598,0.14764618571647575
-90.13479778369391,38.64863856497752,racing_line,3.1849618031391105e-05,0.0045122523975689895,0.16615962401087966
-90.13476517191621,38.64864651309742,racing_line,3.356636195023477e-05,0.0045458187595192245,0.19084244480491297
-90.13473047610013,38.64864818729888,racing_line,3.473618580423279e-05,0.004580554945323457,0.22068525176999781
-90.13469678490172,38.64864231830534,racing_line,3.41985662787327e-05,0.0046147535116021895,0.22657311007830114
-90.13466521523856,38.64862900649903,racing_line,3.426146260222448e-05,0.004649014974204414,0.24679490135805165
-90.13463809352604,38.64860856605264,racing_line,3.396173050238001e-05,0.004682976704706794,0.26011542158279466
-90.13461821348797,38.6485832054938,racing_line,3.222380886983596e-05,0.00471520051357663,0.29394143829302755
-90.13460531510141,38.64855003931515,racing_line,3.5586005427078425e-05,0.004750786519003709,0.28177770495089116
-90.13460232320296,38.648516558482264,racing_line,3.3614247379744273e-05,0.0047844007663834535,0.2483640793772448
-90.13460587171738,38.64849446299065,racing_line,2.2378621592832834e-05,0.004806779387976286,0.25636842778174973
-90.13461397237155,38.64847610725463,racing_line,2.006373950017584e-05,0.0048268431274764625,0.22972227292031322
-90.13462872511784,38.648456511690966,racing_line,2.4528139720775314e-05,0.004851371267197238,0.20495347654483576
-90.13465210627449,38.64843598360359,racing_line,3.111399777714748e-05,0.004882485264974385,0.14302023550101373
-90.13468025243614,38.648417643827116,racing_line,3.359395506593265e-05,0.004916079220040318,0.09611361892097925
-90.13471072358527,38.64840172676894,racing_line,3.437795326094401e-05,0.0049504571733012615,0.05065591739393893
-90.13474376319093,38.648386545185716,racing_line,3.636063820834068e-05,0.004986817811509602,0.027583416124628446
-90.13477773708533,38.648372055351636,racing_line,3.6934818160993445e-05,0.005023752629670595,0.006790722725413367
-90.13480968178627,38.648358173830935,racing_line,3.4830454129438864e-05,0.005058583083800034,0.026954781085399393
-90.13484054101282,38.648343763160895,racing_line,3.405817485732748e-05,0.005092641258657361,0.050501009877021996
-90.1348696818453,38.648328317488904,racing_line,3.298115978800503e-05,0.005125622418445367,0.05981920948745545
-90.13489870997651,38.648310631615175,racing_line,3.399150674869178e-05,0.005159613925194059,0.11083881812901453
-90.13492408688258,38.64829101587991,racing_line,3.207435784800552e-05,0.0051916882830420645,0.13761692612880427
-90.1349441319458,38.64827055509116,racing_line,2.8643471089729366e-05,0.005220331754131794,0.1797155575742848
-90.13495817366633,38.64824982727209,racing_line,2.5036221738243434e-05,0.0052453679758700375,0.1783769822992778
