longitude,latitude,trace_type
-10033723.537045415,4671533.898033807,racing_line
-10033723.584429916,4671534.134595486,racing_line
-10033723.631974451,4671534.371059497,racing_line
-10033723.67973281,4671534.607419539,racing_line
-10033723.727480024,4671534.843733026,racing_line
-10033723.774925077,4671535.0800745925,racing_line
-10033723.82206415,4671535.316459105,racing_line
-10033723.868912607,4671535.552897617,racing_line
-10033723.91550143,4671535.7893969435,racing_line
-10033723.961871993,4671536.025959903,racing_line
-10033724.008070406,4671536.262586029,racing_line
-10033724.054142447,4671536.49927249,racing_line
-10033724.100130036,4671536.736014935,racing_line
-10033724.146069236,4671536.972808187,racing_line
-10033724.191989593,4671537.209646675,racing_line
-10033724.237914424,4671537.446524675,racing_line
-10033724.283861237,4671537.683436457,racing_line
-10033724.32992948,4671537.920360005,racing_line
-10033724.376200844,4671538.157275915,racing_line
-10033724.422623001,4671538.394189475,racing_line
-10033724.469010148,4671538.631132619,racing_line
-10033724.51525963,4671538.868120785,racing_line
-10033724.561387986,4671539.1051461315,racing_line
-10033724.607416475,4671539.342201012,racing_line
-10033724.653369825,4671539.579278601,racing_line
-10033724.699274415,4671539.816373564,racing_line
-10033724.745175535,4671540.053479996,racing_line
-10033724.790960379,4671540.290625099,racing_line
-10033724.8366144,4671540.52781727,racing_line
-10033724.882131666,4671540.7650643075,racing_line
-10033724.927515807,4671541.002372646,racing_line
-10033724.972779766,4671541.239746762,racing_line
-10033725.017944455,4671541.47718882,racing_line
-10033725.063036509,4671541.714698559,racing_line
-10033725.108085468,4671541.952273453,racing_line
-10033725.153120723,4671542.189909056,racing_line
-10033725.198168503,4671542.427599544,racing_line
-10033725.243249144,4671542.665338414,racing_line
-10033725.288375039,4671542.903119213,racing_line
-10033725.333549438,4671543.140936299,racing_line
-10033725.378766406,4671543.378785467,racing_line
-10033725.424011998,4671543.616664382,racing_line
-10033725.469266402,4671543.854572766,racing_line
-10033725.514479509,4671544.092517635,racing_line
-10033725.559562966,4671544.3305151295,racing_line
-10033725.604548898,4671544.568559742,racing_line
-10033725.649527512,4671544.806636825,racing_line
-10033725.694509704,4671545.04474771,racing_line
-10033725.739500865,4671545.282895675,racing_line
-10033725.784404054,4671545.521104392,racing_line
-10033725.829167336,4671545.759388767,racing_line
-10033725.873834219,4671545.997745426,racing_line
-10033725.918443255,4671546.236171244,racing_line
-10033725.963005032,4671546.474667488,racing_line
-10033726.007528387,4671546.7132349685,racing_line
-10033726.05202001,4671546.951874215,racing_line
-10033726.096484924,4671547.19058551,racing_line
-10033726.140927598,4671547.429368772,racing_line
-10033726.185353346,4671547.668223316,racing_line
-10033726.229769463,4671547.907147557,racing_line
-10033726.274185676,4671548.14613878,racing_line
-10033726.318613656,4671548.385193028,racing_line
-10033726.363065567,4671548.624305237,racing_line
-10033726.407551926,4671548.863469596,racing_line
-10033726.452079356,4671549.102680072,racing_line
-10033726.49664867,4671549.341931055,racing_line
-10033726.541254036,4671549.581217939,racing_line
-10033726.585795801,4671549.820553983,racing_line
-10033726.630181544,4671550.059951853,racing_line
-10033726.67444415,4671550.299401835,racing_line
-10033726.718619466,4671550.53889501,racing_line
-10033726.76274309,4671550.7784239,racing_line
-10033726.80684771,4671551.017982859,racing_line
-10033726.850961123,4671551.257568226,racing_line
-10033726.89510501,4671551.497178238,racing_line
-10033726.93929434,4671551.736812791,racing_line
-10033726.983441617,4671551.976491187,racing_line
-10033727.027514827,4671552.216221988,racing_line
-10033727.071521217,4671552.456005858,racing_line
-10033727.115468025,4671552.695842869,racing_line
-10033727.159361485,4671552.935732696,racing_line
-10033727.203206219,4671553.1756748,racing_line
-10033727.247004999,4671553.415668617,racing_line
-10033727.290758945,4671553.655713683,racing_line
-10033727.334467987,4671553.895809705,racing_line
-10033727.378131568,4671554.135956567,racing_line
-10033727.421749359,4671554.3761542635,racing_line
-10033727.465321988,4671554.616402783,racing_line
-10033727.50885155,4671554.856701966,racing_line
-10033727.552341897,4671555.0970513355,racing_line
-10033727.595798496,4671555.3374499595,racing_line
-10033727.639227912,4671555.577896396,racing_line
-10033727.68263695,4671555.818388693,racing_line
-10033727.726031583,4671556.058924496,racing_line
-10033727.769415803,4671556.2995012505,racing_line
-10033727.81278719,4671556.5401171,racing_line
-10033727.85608467,4671556.780780714,racing_line
-10033727.899324536,4671557.021486413,racing_line
-10033727.942525722,4671557.262228276,racing_line
-10033727.985708963,4671557.503000608,racing_line
-10033728.028895505,4671557.743798462,racing_line
-10033728.07203663,4671557.984630894,racing_line
-10033728.11509167,4671558.225506591,racing_line
-10033728.158051137,4671558.466429526,racing_line
-10033728.200910574,4671558.707403585,racing_line
-10033728.243671086,4671558.94843213,racing_line
-10033728.28633893,4671559.18951772,racing_line
-10033728.32892432,4671559.430661977,racing_line
-10033728.37143971,4671559.671865635,racing_line
-10033728.413897954,4671559.913128719,racing_line
-10033728.456310753,4671560.154450817,racing_line
-10033728.498687621,4671560.39583133,racing_line
-10033728.541035453,4671560.637269702,racing_line
-10033728.583358673,4671560.878765557,racing_line
-10033728.625659745,4671561.120318744,racing_line
-10033728.667939896,4671561.36192934,racing_line
-10033728.71019971,4671561.6035975525,racing_line
-10033728.75243947,4671561.84532368,racing_line
-10033728.79465931,4671562.087108056,racing_line
-10033728.836859073,4671562.328951016,racing_line
-10033728.879038101,4671562.570852933,racing_line
-10033728.921194978,4671562.812814262,racing_line
-10033728.963327391,4671563.0548355905,racing_line
-10033729.005432121,4671563.2969177235,racing_line
-10033729.0475052,4671563.539061735,racing_line
-10033729.089542324,4671563.781268986,racing_line
-10033729.131539369,4671564.023541106,racing_line
-10033729.17349296,4671564.265879929,racing_line
-10033729.215401098,4671564.5082874,racing_line
-10033729.257263571,4671564.750765408,racing_line
-10033729.299082207,4671564.993315685,racing_line
-10033729.340860758,4671565.23593965,racing_line
-10033729.382604524,4671565.478638353,racing_line
-10033729.424319841,4671565.721412415,racing_line
-10033729.46601332,4671565.9642620385,racing_line
-10033729.507691069,4671566.207187076,racing_line
-10033729.549357988,4671566.45018713,racing_line
-10033729.591017134,4671566.693261694,racing_line
-10033729.6326693,4671566.936410327,racing_line
-10033729.674312841,4671567.179632822,racing_line
-10033729.715943817,4671567.42292936,racing_line
-10033729.757556513,4671567.666300615,racing_line
-10033729.7991442,4671567.909747796,racing_line
-10033729.840700082,4671568.153272607,racing_line
-10033729.882218271,4671568.39687715,racing_line
-10033729.923694678,4671568.640563764,racing_line
-10033729.96514322,4671568.884332228,racing_line
-10033730.006581064,4671569.128182083,racing_line
-10033730.047995344,4671569.372117988,racing_line
-10033730.089372195,4671569.616144659,racing_line
-10033730.130697493,4671569.860266538,racing_line
