t,seconds_elapsed,E,N,lat,lon,speed,heading_deg,yaw_rate
1782421471380309000,51.38,8.934544503318795,-30.511711867120408,38.64840235195256,-90.13538110520372,9.948421478259405,20.908025885481862,-0.43072881692871884
1782421471390309000,51.39,9.1101201738793,-30.44454081053403,38.648402956036385,-90.13537908342417,9.948421478259405,20.962997412714117,-0.41108910629887535
1782421471400309000,51.4,9.28609622623786,-30.377024232206164,38.64840356322756,-90.13537705703416,9.948421478259405,21.017248129205626,-0.29862587261275647
1782421471410309000,51.410000000000004,9.462469010854381,-30.30916505068173,38.64840417349984,-90.13537502607572,9.948421478259405,21.07078742892464,-0.10816231829292855
1782421471420309000,51.42,9.639234878188361,-30.24096618450578,38.64840478682698,-90.13537299059087,9.948421478259405,21.12362451445975,0.14797440846199186
1782421471430309000,51.43,9.816390178699697,-30.17243055222325,38.64840540318273,-90.13537095062165,9.948421478259405,21.175768401371897,0.31098366687307644
1782421471440309000,51.44,9.993931262848157,-30.103561072379083,38.64840602254084,-90.13536890621008,9.948421478259405,21.227227922409465,0.4527663041405522
1782421471450309000,51.45,10.171854481093634,-30.034360663518214,38.64840664487507,-90.13536685739815,9.948421478259405,21.278011731606576,0.5423534997956877
1782421471460309000,51.46,10.350156183895644,-29.96483224418569,38.64840727015917,-90.13536480422795,9.948421478259403,21.32812830828052,0.39005196143574516
1782421471470309000,51.47,10.528832721714066,-29.89497873292644,38.648407898366884,-90.13536274674145,9.948421478259403,21.377585960902024,-0.051695176509758294
1782421471480309000,51.480000000000004,10.707880445008808,-29.82480304828537,38.64840852947198,-90.1353606849807,9.948421478259403,21.4263928308774,-0.5527815914070482
1782421471490309000,51.49,10.887295704239376,-29.754308108807553,38.6484091634482,-90.13535861898772,9.948421478259403,21.47455689621216,-0.9511589495803918
1782421471500309000,51.5,11.06707484986566,-29.6834968330379,38.648409800269306,-90.13535654880454,9.948421478259403,21.522085975083435,-1.1919608707674043
1782421471510309000,51.51,11.247214232347424,-29.612372139521376,38.64841043990904,-90.13535447447317,9.948421478259403,21.568987729311175,-1.181943409257074
1782421471520309000,51.52,11.427710202144572,-29.540936946802887,38.64841108234116,-90.13535239603566,9.948421478259403,21.615269667733347,-0.9464108332067928
1782421471530309000,51.53,11.608559109716609,-29.469194173427525,38.648411727539425,-90.135350313534,9.948421478259403,21.66093914950205,-0.5310492053599497
