t,seconds_elapsed,tone_hz,rpm_est
1782422517179623400,2.18,39.019378670120176,4682.325440414422
1782422517189623400,2.19,38.49658748276926,4619.59049793231
1782422517199623400,2.2,37.88755363565866,4546.506436279039
1782422517209623400,2.21,37.278519788548095,4473.422374625771
1782422517219623400,2.22,36.6694859414375,4400.3383129725
1782422517229623400,2.23,36.06045209432693,4327.254251319232
1782422517239623400,2.24,35.45141824721634,4254.170189665961
1782422517249623400,2.25,34.84238440010577,4181.086128012693
1782422517259623400,2.26,34.233350552995205,4108.002066359425
1782422517269623400,2.27,33.62431670588462,4034.9180047061536
1782422517279623400,2.28,33.01528285877405,3961.833943052886
1782422517289623400,2.29,32.406249011663455,3888.7498813996144
1782422517299623400,2.3000000000000003,31.79721516455286,3815.6658197463435
1782422517309623400,2.31,31.311818682557707,3757.418241906925
1782422517319623400,2.32,31.920852529668274,3830.5023035601926
1782422517329623400,2.33,32.52988637677887,3903.586365213464
1782422517339623400,2.34,33.138920223889436,3976.6704268667318
1782422517349623400,2.35,33.747954071000024,4049.754488520003
1782422517359623400,2.36,34.35698791811059,4122.838550173271
1782422517369623400,2.37,34.966021765221186,4195.922611826542
1782422517379623400,2.38,35.57505561233175,4269.00667347981
1782422517389623400,2.39,36.18408945944235,4342.090735133082
1782422517399623400,2.4,36.793123306552914,4415.174796786349
1782422517409623400,2.41,37.4021571536635,4488.258858439621
1782422517419623400,2.42,38.01119100077407,4561.342920092889
1782422517429623400,2.43,38.620224847884664,4634.42698174616
1782422517439623400,2.44,39.0625,4687.5
1782422517449623400,2.45,39.0625,4687.5
1782422517459623400,2.46,39.0625,4687.5
1782422517469623400,2.47,39.0625,4687.5
1782422517479623400,2.48,39.0625,4687.5
1782422517489623400,2.49,39.0625,4687.5
1782422517499623400,2.5,39.0625,4687.5
1782422517509623400,2.51,39.0625,4687.5
1782422517519623400,2.52,39.0625,4687.5
1782422517529623400,2.53,39.0625,4687.5
1782422517539623400,2.54,39.0625,4687.5
1782422517549623400,2.5500000000000003,39.0625,4687.5
1782422517559623400,2.56,39.0625,4687.5
1782422517569623400,2.57,38.79080129255387,4654.896155106465
1782422517579623400,2.58,38.181767445444365,4581.8120934533235
1782422517589623400,2.59,37.57273359833487,4508.728031800185
1782422517599623400,2.6,36.96369975122536,4435.643970147044
1782422517609623400,2.61,36.354665904115876,4362.559908493905
1782422517619623400,2.62,35.74563205700636,4289.475846840764
1782422517629623400,2.63,35.136598209896874,4216.391785187625
1782422517639623400,2.64,34.52756436278736,4143.307723534483
1782422517649623400,2.65,33.91853051567787,4070.2236618813445
1782422517659623400,2.66,33.30949666856836,3997.139600228203
1782422517669623400,2.67,32.70046282145887,3924.0555385750645
1782422517679623400,2.68,32.091428974349355,3850.9714769219227
1782422517689623400,2.69,31.48239512723987,3777.8874152687845
1782422517699623400,2.7,32.19159679967578,3862.9916159610934
1782422517709623400,2.71,33.714181417452195,4045.7017700942633
1782422517719623400,2.72,35.23676603522868,4228.411924227442
1782422517729623400,2.73,36.75935065300509,4411.122078360611
1782422517739623400,2.74,38.28193527078158,4593.83223249379
1782422517749623400,2.75,39.804519888558,4776.542386626959
1782422517759623400,2.76,41.327104506334415,4959.25254076013
1782422517769623400,2.77,42.849689124110895,5141.962694893307
1782422517779623400,2.78,44.37227374188731,5324.672849026478
1782422517789623400,2.79,45.8948583596638,5507.383003159655
1782422517799623400,2.8000000000000003,47.41744297744028,5690.093157292833
1782422517809623400,2.81,48.9400275952167,5872.803311426003
1782422517819623400,2.82,50.462612212993115,6055.513465559174
1782422517829623400,2.83,49.57730316922827,5949.276380307392
1782422517839623400,2.84,48.054718551449156,5766.566226173899
1782422517849623400,2.85,46.532133933669975,5583.856072040397
1782422517859623400,2.86,45.00954931589086,5401.1459179069025
1782422517869623400,2.87,43.48696469811168,5218.435763773401
1782422517879623400,2.88,41.96438008033256,5035.725609639907
1782422517889623400,2.89,40.44179546255338,4853.0154555064055
1782422517899623400,2.9,38.91921084477426,4670.305301372911
1782422517909623400,2.91,37.39662622699508,4487.595147239409
1782422517919623400,2.92,35.874041609215965,4304.884993105916
1782422517929623400,2.93,34.351456991436784,4122.174838972413
1782422517939623400,2.94,32.82887237365767,3939.4646848389198
1782422517949623400,2.95,31.306287755878486,3756.754530705418
1782422517959623400,2.96,31.25,3750.0
1782422517969623400,2.97,31.25,3750.0
1782422517979623400,2.98,31.25,3750.0
1782422517989623400,2.99,31.25,3750.0
1782422517999623400,3.0,31.25,3750.0
1782422518009623400,3.01,31.25,3750.0
1782422518019623400,3.02,31.25,3750.0
1782422518029623400,3.03,31.25,3750.0
1782422518039623400,3.04,31.25,3750.0
1782422518049623400,3.0500000000000003,31.25,3750.0
1782422518059623400,3.06,31.25,3750.0
1782422518069623400,3.0700000000000003,31.25,3750.0
1782422518079623400,3.08,31.291212455043013,3754.9454946051615
1782422518089623400,3.09,31.595729378597756,3791.487525431731
1782422518099623400,3.1,31.900246302152514,3828.0295562583015
1782422518109623400,3.11,32.20476322570726,3864.5715870848708
1782422518119623400,3.12,32.50928014926201,3901.113617911442
1782422518129623400,3.13,32.813797072816755,3937.6556487380108
1782422518139623400,3.14,33.11831399637151,3974.197679564582
1782422518149623400,3.15,33.422830919926255,4010.7397103911508
1782422518159623400,3.16,33.72734784348101,4047.281741217722
1782422518169623400,3.17,34.031864767035756,4083.823772044291
1782422518179623400,3.18,34.336381690590514,4120.365802870861
1782422518189623400,3.19,34.64089861414526,4156.907833697431
1782422518199623400,3.2,34.945415537700015,4193.449864524002
1782422518209623400,3.21,35.15625,4218.75
1782422518219623400,3.22,35.15625,4218.75
1782422518229623400,3.23,35.15625,4218.75
1782422518239623400,3.24,35.15625,4218.75
1782422518249623400,3.25,35.15625,4218.75
1782422518259623400,3.26,35.15625,4218.75
1782422518269623400,3.27,35.15625,4218.75
1782422518279623400,3.28,35.15625,4218.75
1782422518289623400,3.29,35.15625,4218.75
1782422518299623400,3.3000000000000003,35.15625,4218.75
1782422518309623400,3.31,35.15625,4218.75
1782422518319623400,3.3200000000000003,35.15625,4218.75
1782422518329623400,3.33,35.15625,4218.75
1782422518339623400,3.34,35.15625,4218.75
1782422518349623400,3.35,35.15625,4218.75
1782422518359623400,3.36,35.15625,4218.75
1782422518369623400,3.37,35.15625,4218.75
1782422518379623400,3.38,35.15625,4218.75
1782422518389623400,3.39,35.15625,4218.75
1782422518399623400,3.4,35.15625,4218.75
1782422518409623400,3.41,35.15625,4218.75
1782422518419623400,3.42,35.15625,4218.75
1782422518429623400,3.43,35.15625,4218.75
1782422518439623400,3.44,35.15625,4218.75
1782422518449623400,3.45,35.15625,4218.75
1782422518459623400,3.46,35.15625,4218.75
1782422518469623400,3.47,35.55349494739807,4266.419393687769
1782422518479623400,3.48,36.162528794507566,4339.503455340908
1782422518489623400,3.49,36.77156264161707,4412.587516994049
1782422518499623400,3.5,37.38059648872656,4485.671578647188
1782422518509623400,3.51,37.98963033583605,4558.755640300326
1782422518519623400,3.52,38.59866418294556,4631.839701953468
1782422518529623400,3.53,39.20769803005505,4704.923763606606
1782422518539623400,3.54,39.816731877164564,4778.007825259748
1782422518549623400,3.5500000000000003,40.42576572427408,4851.091886912889
1782422518559623400,3.56,41.034799571383566,4924.175948566028
1782422518569623400,3.5700000000000003,41.64383341849308,4997.260010219169
1782422518579623400,3.58,42.25286726560257,5070.344071872308
1782422518589623400,3.59,42.861901112712054,5143.428133525446
1782422518599623400,3.6,42.466565040176654,5095.987804821199
1782422518609623400,3.61,41.85753119306501,5022.903743167801
1782422518619623400,3.62,41.24849734595333,4949.8196815144
1782422518629623400,3.63,40.639463498841685,4876.735619861002
1782422518639623400,3.64,40.03042965173002,4803.651558207602
1782422518649623400,3.65,39.42139580461837,4730.567496554204
1782422518659623400,3.66,38.812361957506695,4657.483434900803
1782422518669623400,3.67,38.20332811039505,4584.3993732474055
1782422518679623400,3.68,37.59429426328337,4511.315311594005
1782422518689623400,3.69,36.98526041617173,4438.231249940608
1782422518699623400,3.7,36.37622656906006,4365.1471882872065
1782422518709623400,3.71,35.76719272194841,4292.06312663381
1782422518719623400,3.72,35.15815887483674,4218.979064980408
1782422518729623400,3.73,35.76337497227383,4291.60499667286
1782422518739623400,3.74,36.372408819384425,4364.689058326131
1782422518749623400,3.75,36.98144266649499,4437.773119979399
1782422518759623400,3.76,37.59047651360556,4510.857181632667
1782422518769623400,3.77,38.199510360716154,4583.941243285938
1782422518779623400,3.78,38.80854420782672,4657.025304939206
1782422518789623400,3.79,39.41757805493731,4730.109366592477
1782422518799623400,3.8,40.026611902047875,4803.193428245745
1782422518809623400,3.81,40.63564574915847,4876.2774898990165
1782422518819623400,3.82,41.24467959626904,4949.361551552284
1782422518829623400,3.83,41.85371344337963,5022.445613205556
1782422518839623400,3.84,42.4627472904902,5095.5296748588235
1782422518849623400,3.85,42.96875,5156.25
1782422518859623400,3.86,42.96875,5156.25
1782422518869623400,3.87,42.96875,5156.25
1782422518879623400,3.88,42.96875,5156.25
1782422518889623400,3.89,42.96875,5156.25
1782422518899623400,3.9,42.96875,5156.25
1782422518909623400,3.91,42.96875,5156.25
1782422518919623400,3.92,42.96875,5156.25
1782422518929623400,3.93,42.96875,5156.25
1782422518939623400,3.94,42.96875,5156.25
1782422518949623400,3.95,42.96875,5156.25
1782422518959623400,3.96,42.96875,5156.25
1782422518969623400,3.97,42.96875,5156.25
1782422518979623400,3.98,42.96875,5156.25
1782422518989623400,3.99,42.96875,5156.25
1782422518999623400,4.0,42.96875,5156.25
1782422519009623400,4.01,42.96875,5156.25
1782422519019623400,4.0200000000000005,42.96875,5156.25
1782422519029623400,4.03,42.96875,5156.25
1782422519039623400,4.04,42.96875,5156.25
1782422519049623400,4.05,42.96875,5156.25
1782422519059623400,4.0600000000000005,42.96875,5156.25
1782422519069623400,4.07,42.96875,5156.25
1782422519079623400,4.08,42.96875,5156.25
1782422519089623400,4.09,42.96875,5156.25
1782422519099623399,4.1,42.96875,5156.25
1782422519109623400,4.11,42.812294418762065,5137.475330251447
1782422519119623400,4.12,42.50777749520678,5100.933299424813
1782422519129623400,4.13,42.2032605716515,5064.3912685981795
1782422519139623399,4.14,41.898743648096215,5027.849237771546
1782422519149623400,4.15,41.5942267245409,4991.307206944908
1782422519159623400,4.16,41.28970980098562,4954.765176118274
1782422519169623400,4.17,40.985192877430336,4918.22314529164
1782422519179623399,4.18,40.68067595387505,4881.681114465006
1782422519189623400,4.19,40.37615903031974,4845.139083638369
1782422519199623400,4.2,40.07164210676446,4808.597052811735
1782422519209623400,4.21,39.767125183209174,4772.055021985101
1782422519219623399,4.22,39.46260825965389,4735.512991158467
1782422519229623400,4.23,39.158091336098586,4698.97096033183
1782422519239623400,4.24,39.0625,4687.5
1782422519249623400,4.25,39.0625,4687.5
1782422519259623400,4.26,39.0625,4687.5
1782422519269623400,4.2700000000000005,39.0625,4687.5
1782422519279623400,4.28,39.0625,4687.5
1782422519289623400,4.29,39.0625,4687.5
1782422519299623400,4.3,39.0625,4687.5
1782422519309623400,4.3100000000000005,39.0625,4687.5
1782422519319623400,4.32,39.0625,4687.5
1782422519329623400,4.33,39.0625,4687.5
1782422519339623400,4.34,39.0625,4687.5
1782422519349623400,4.3500000000000005,39.0625,4687.5
1782422519359623400,4.36,39.0625,4687.5
1782422519369623400,4.37,39.0625,4687.5
1782422519379623400,4.38,39.0625,4687.5
1782422519389623400,4.39,39.0625,4687.5
1782422519399623400,4.4,39.0625,4687.5
1782422519409623400,4.41,39.0625,4687.5
1782422519419623400,4.42,39.0625,4687.5
1782422519429623400,4.43,39.0625,4687.5
1782422519439623400,4.44,39.0625,4687.5
1782422519449623400,4.45,39.0625,4687.5
1782422519459623400,4.46,39.0625,4687.5
1782422519469623400,4.47,39.0625,4687.5
1782422519479623400,4.48,39.0625,4687.5
1782422519489623400,4.49,39.0625,4687.5
1782422519499623400,4.5,39.0625,4687.5
1782422519509623400,4.51,39.0625,4687.5
1782422519519623400,4.5200000000000005,39.0625,4687.5
1782422519529623400,4.53,39.0625,4687.5
1782422519539623400,4.54,39.0625,4687.5
1782422519549623400,4.55,39.0625,4687.5
1782422519559623400,4.5600000000000005,39.0625,4687.5
1782422519569623400,4.57,39.0625,4687.5
1782422519579623400,4.58,39.0625,4687.5
1782422519589623400,4.59,39.0625,4687.5
1782422519599623400,4.6000000000000005,39.0625,4687.5
1782422519609623400,4.61,39.0625,4687.5
